0	0.7987
1	0.01
2	0.0035
3	0.0031
4	0.0028
5	0.0024
6	0.0023
7	0.0021
8	0.0019
9	0.0022
10	0.0021
11	0.0029
12	0.0026
13	0.0033
14	0.0036
15	0.0048
16	0.0036
17	0.0045
18	0.0043
19	0.0054
20	0.0052
21	0.006
22	0.0062
23	0.0067
24	0.0073
25	0.0067
26	0.0068
27	0.0055
28	0.0073
29	0.0073
30	0.0078
31	0.0075
32	0.0089
33	0.0091
34	0.0089
35	0.0077
36	0.0092
37	0.0074
38	0.0091
39	0.007
40	0.0085
41	0.0097
42	0.0096
43	0.0103
44	0.0122
45	0.011
46	0.012
47	0.0107
48	0.0127
49	0.0107
50	0.0132
51	0.0103
52	0.0107
53	0.0101
54	0.0108
55	0.0109
56	0.0137
57	0.0107
58	0.0113
59	0.0116
60	0.0122
61	0.0093
62	0.0109
63	0.0113
64	0.0111
65	0.0117
66	0.0115
67	0.0123
68	0.0126
69	0.0131
70	0.0108
71	0.0115
72	0.0116
73	0.01
74	0.0109
75	0.0094
76	0.0106
77	0.0099
78	0.0099
79	0.0098
80	0.0105
81	0.0123
82	0.0122
83	0.0135
84	0.0122
85	0.0136
86	0.0113
87	0.0118
88	0.0094
89	0.01
90	0.0104
91	0.011
92	0.0108
93	0.0104
94	0.0104
95	0.012
96	0.0126
97	0.0137
98	0.0128
99	0.0143
100	0.016
101	0.0157
102	0.0161
103	0.0158
104	0.0163
105	0.0165
106	0.0169
107	0.0167
108	0.0184
109	0.0185
110	0.0161
111	0.018
112	0.0153
113	0.0145
114	0.0162
115	0.0149
116	0.0137
117	0.0129
118	0.0122
119	0.013
120	0.0131
121	0.0123
122	0.0115
123	0.0105
124	0.0102
125	0.0096
126	0.0099
127	0.0099
128	0.012
129	0.0101
130	0.0108
131	0.0098
132	0.0108
133	0.0112
134	0.0119
135	0.0094
136	0.0091
137	0.0086
138	0.0093
139	0.0087
140	0.0091
141	0.0084
142	0.0087
143	0.009
144	0.01
145	0.0085
146	0.01
147	0.0086
148	0.0097
149	0.0084
150	0.0092
151	0.0081
152	0.0073
153	0.0075
154	0.0072
155	0.0072
156	0.0074
157	0.0078
158	0.0087
159	0.0092
160	0.0088
161	0.0092
162	0.0084
163	0.0079
164	0.0081
165	0.0076
166	0.0088
